sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119007,35,19,16,2024-12-05 02:52:15,2024-12-05.csv
500119088,35,8,26,2024-12-05 08:58:14,2024-12-05.csv
500119007,35,3,32,2024-12-05 08:38:15,2024-12-05.csv
500119088,35,2,32,2024-12-05 07:12:15,2024-12-05.csv
500119044,35,2,33,2024-12-05 07:20:17,2024-12-05.csv
500119088,35,0,34,2024-12-05 08:20:16,2024-12-05.csv
500119044,35,0,35,2024-12-05 08:36:16,2024-12-05.csv
500119044,35,1,34,2024-12-05 22:10:17,2024-12-05.csv
500119044,35,2,33,2024-12-05 09:51:15,2024-12-05.csv
500119044,35,0,35,2024-12-05 10:09:15,2024-12-05.csv
500119088,35,0,35,2024-12-05 22:58:15,2024-12-05.csv
500119044,35,5,30,2024-12-05 18:52:15,2024-12-05.csv
500119007,35,3,32,2024-12-05 18:43:15,2024-12-05.csv
500119007,35,2,33,2024-12-05 21:23:15,2024-12-05.csv
500119088,35,1,34,2024-12-05 18:43:18,2024-12-05.csv
500119088,35,1,34,2024-12-05 19:16:15,2024-12-05.csv
500119088,35,0,35,2024-12-05 20:55:16,2024-12-05.csv
500119044,35,8,27,2024-12-05 15:47:16,2024-12-05.csv
500119088,35,8,27,2024-12-05 14:57:15,2024-12-05.csv
500119007,35,6,29,2024-12-05 16:53:15,2024-12-05.csv
500119088,35,4,31,2024-12-05 15:35:17,2024-12-05.csv
500119007,35,1,34,2024-12-05 15:13:16,2024-12-05.csv
500119088,35,0,35,2024-12-05 23:57:15,2024-12-05.csv
500119007,35,15,20,2024-12-05 02:17:14,2024-12-05.csv
500119007,35,4,31,2024-12-05 22:34:15,2024-12-05.csv
500119007,35,19,16,2024-12-05 06:47:14,2024-12-05.csv
500119007,35,17,18,2024-12-05 07:14:15,2024-12-05.csv
500119007,35,14,21,2024-12-05 07:29:15,2024-12-05.csv
500119088,35,3,32,2024-12-05 04:57:14,2024-12-05.csv
500119044,35,1,34,2024-12-05 07:36:15,2024-12-05.csv
500119044,35,1,34,2024-12-05 08:44:15,2024-12-05.csv
500119088,35,1,34,2024-12-05 21:48:15,2024-12-05.csv
500119088,35,1,34,2024-12-05 23:21:15,2024-12-05.csv
500119007,35,17,18,2024-12-05 02:22:15,2024-12-05.csv
500119088,35,17,17,2024-12-05 09:18:15,2024-12-05.csv
500119088,35,8,26,2024-12-05 09:52:14,2024-12-05.csv
500119007,35,2,33,2024-12-05 18:34:15,2024-12-05.csv
500119007,35,1,34,2024-12-05 17:35:17,2024-12-05.csv
500119088,35,1,34,2024-12-05 18:28:15,2024-12-05.csv
500119088,35,0,35,2024-12-05 20:23:16,2024-12-05.csv
500119007,35,6,29,2024-12-05 16:48:15,2024-12-05.csv
500119007,35,5,30,2024-12-05 14:44:15,2024-12-05.csv
500119044,35,3,32,2024-12-05 16:14:15,2024-12-05.csv
500119044,35,2,33,2024-12-05 15:34:15,2024-12-05.csv
500119088,35,1,34,2024-12-05 16:21:16,2024-12-05.csv
500119007,35,5,30,2024-12-05 23:55:16,2024-12-05.csv
500119007,35,12,23,2024-12-05 00:08:15,2024-12-05.csv
500119088,35,2,33,2024-12-05 00:26:14,2024-12-05.csv
500119088,35,1,34,2024-12-05 00:14:15,2024-12-05.csv
500119093,36,12,23,2024-12-05 02:31:14,2024-12-05.csv
500119093,36,17,19,2024-12-05 15:37:16,2024-12-05.csv
500119093,36,17,19,2024-12-05 14:33:16,2024-12-05.csv
500119093,36,11,25,2024-12-05 17:08:15,2024-12-05.csv
500119093,36,5,31,2024-12-05 17:18:14,2024-12-05.csv
500119093,36,8,28,2024-12-05 00:18:15,2024-12-05.csv
500119093,36,14,21,2024-12-05 00:44:14,2024-12-05.csv
500119093,36,11,24,2024-12-05 08:37:15,2024-12-05.csv
500119093,36,14,22,2024-12-05 19:33:16,2024-12-05.csv
500119093,36,13,22,2024-12-05 07:57:14,2024-12-05.csv
500119093,36,9,26,2024-12-05 08:48:15,2024-12-05.csv
500119093,36,0,36,2024-12-05 17:58:16,2024-12-05.csv
500119093,36,0,36,2024-12-05 17:26:16,2024-12-05.csv
500119093,36,16,20,2024-12-05 15:24:15,2024-12-05.csv
500119093,36,16,20,2024-12-05 14:46:15,2024-12-05.csv
500119093,36,0,36,2024-12-05 20:45:17,2024-12-05.csv
